Time,Channel A,Channel B
(ms),(mV),(V)

-500.01919270,7.14133100,0.03173925
-499.97823270,7.14133100,0.02380444
-499.93727270,5.55436900,0.02380444
-499.89631270,1.58696200,0.03173925
-499.85535270,-4.76088700,0.03967406
-499.81439270,-10.31526000,0.03173925
-499.77343270,-9.52177400,0.03173925
-499.73247270,-3.96740600,0.03173925
-499.69151270,1.58696200,0.02380444
-499.65055270,6.34785000,0.02380444
-499.60959270,7.93481200,0.02380444
-499.56863270,5.55436900,0.02380444
-499.52767270,0.00000000,0.03173925
-499.48671270,-6.34785000,0.02380444
-499.44575270,-9.52177400,0.03173925
-499.40479270,-7.14133100,0.02380444
-499.36383270,-1.58696200,0.02380444
-499.32287270,3.96740600,0.03173925
-499.28191270,7.93481200,0.02380444
-499.24095270,7.93481200,0.03967406
-499.19999270,3.96740600,0.02380444
-499.15903270,-3.17392500,0.02380444
-499.11807270,-7.14133100,0.03173925
-499.07711270,-10.31526000,0.03173925
-499.03615270,-3.96740600,0.01586962
-498.99519270,-2.38044400,0.03173925
-498.95423270,5.55436900,0.00793481
-498.91327270,7.14133100,0.02380444
-498.87231270,7.14133100,0.02380444
-498.83135270,2.38044400,0.02380444
-498.79039270,-3.17392500,0.02380444
-498.74943270,-7.93481200,0.02380444
-498.70847270,-10.31526000,0.02380444
-498.66751270,-7.14133100,0.01586962
-498.62655270,-0.79348120,0.00793481
-498.58559270,5.55436900,0.02380444
-498.54463270,7.14133100,0.03173925
-498.50367270,5.55436900,0.02380444
-498.46271271,2.38044400,0.02380444
-498.42175271,-4.76088700,0.02380444
-498.38079271,-9.52177400,0.02380444
-498.33983271,-8.72829300,0.01586962
-498.29887271,-1.58696200,0.00000000
-498.25791271,1.58696200,0.02380444
-498.21695271,5.55436900,0.02380444
-498.17599271,7.93481200,0.02380444
-498.13503271,3.96740600,0.01586962
-498.09407271,0.79348120,0.02380444
-498.05311271,-7.14133100,0.01586962
-498.01215271,-8.72829300,0.01586962
-497.97119271,-7.14133100,0.03173925
-497.93023271,-3.17392500,0.00793481
-497.88927271,1.58696200,0.01586962
-497.84831271,7.93481200,0.01586962
-497.80735271,7.93481200,0.01586962
-497.76639271,5.55436900,0.01586962
-497.72543271,-0.79348120,0.00793481
-497.68447271,-5.55436900,0.00793481
-497.64351271,-9.52177400,0.02380444
-497.60255271,-6.34785000,0.01586962
-497.56159271,-0.79348120,0.02380444
-497.52063271,2.38044400,0.01586962
-497.47967271,8.72829300,0.02380444
-497.43871271,7.93481200,0.02380444
-497.39775271,7.14133100,0.00793481
-497.35679271,-0.79348120,0.00793481
-497.31583271,-7.14133100,0.01586962
-497.27487271,-10.31526000,0.00793481
-497.23391271,-8.72829300,0.03173925
-497.19295271,-1.58696200,0.03173925
-497.15199271,3.96740600,0.02380444
-497.11103271,7.93481200,0.01586962
-497.07007271,7.14133100,0.03173925
-497.02911271,2.38044400,0.01586962
-496.98815271,-2.38044400,0.00793481
-496.94719271,-7.93481200,0.01586962
-496.90623271,-10.31526000,0.01586962
-496.86527271,-7.14133100,0.01586962
-496.82431272,-2.38044400,0.00793481
-496.78335272,5.55436900,0.00793481
-496.74239272,8.72829300,0.00793481
-496.70143272,7.93481200,0.01586962
-496.66047272,2.38044400,0.01586962
-496.61951272,-2.38044400,0.01586962
-496.57855272,-9.52177400,0.00793481
-496.53759272,-10.31526000,0.00793481
-496.49663272,-3.96740600,0.00793481
-496.45567272,-0.79348120,0.01586962
-496.41471272,5.55436900,0.01586962
-496.37375272,8.72829300,0.00793481
-496.33279272,5.55436900,0.00793481
-496.29183272,2.38044400,0.01586962
-496.25087272,-4.76088700,0.01586962
-496.20991272,-8.72829300,0.01586962
-496.16895272,-10.31526000,0.02380444
-496.12799272,-3.96740600,0.01586962
-496.08703272,1.58696200,0.00793481
-496.04607272,5.55436900,0.00793481
-496.00511272,8.72829300,0.00000000
-495.96415272,5.55436900,0.00793481
-495.92319272,2.38044400,0.00793481
-495.88223272,-5.55436900,-0.00793481
-495.84127272,-10.31526000,0.01586962
-495.80031272,-7.93481200,0.01586962
-495.75935272,-3.96740600,0.00793481
-495.71839272,2.38044400,0.00793481
-495.67743272,6.34785000,0.01586962
-495.63647272,7.14133100,0.00793481
-495.59551272,4.76088700,0.00793481
-495.55455272,-0.79348120,0.00000000
-495.51359272,-7.14133100,0.00793481
-495.47263272,-10.31526000,0.00793481
-495.43167272,-6.34785000,0.00793481
-495.39071272,-3.17392500,-0.00793481
-495.34975272,3.96740600,0.01586962
-495.30879272,7.93481200,0.00793481
-495.26783272,7.93481200,0.01586962
-495.22687272,3.96740600,-0.00793481
-495.18591272,-1.58696200,0.00000000
-495.14495273,-9.52177400,0.00793481
-495.10399273,-10.31526000,0.00793481
-495.06303273,-8.72829300,0.00000000
-495.02207273,-1.58696200,0.00000000
-494.98111273,4.76088700,0.00793481
-494.94015273,7.93481200,0.01586962
-494.89919273,8.72829300,0.00793481
-494.85823273,2.38044400,0.00793481
-494.81727273,-0.79348120,-0.00793481
-494.77631273,-9.52177400,0.00793481
-494.73535273,-13.48918000,0.00793481
-494.69439273,-4.76088700,0.00000000
-494.65343273,2.38044400,0.00000000
-494.61247273,5.55436900,-0.00793481
-494.57151273,8.72829300,-0.00793481
-494.53055273,5.55436900,0.00793481
-494.48959273,0.79348120,0.00000000
-494.44863273,-5.55436900,0.00000000
-494.40767273,-10.31526000,0.00000000
-494.36671273,-6.34785000,0.00793481
-494.32575273,-1.58696200,0.00000000
-494.28479273,3.96740600,0.00000000
-494.24383273,7.93481200,0.00000000
-494.20287273,7.14133100,0.00000000
-494.16191273,4.76088700,0.00000000
-494.12095273,0.00000000,0.00793481
-494.07999273,-5.55436900,0.00000000
-494.03903273,-10.31526000,0.00000000
-493.99807273,-7.93481200,0.00000000
-493.95711273,-1.58696200,0.00793481
-493.91615273,3.17392500,0.00000000
-493.87519273,7.93481200,-0.00793481
-493.83423273,7.93481200,0.00793481
-493.79327273,2.38044400,-0.00793481
-493.75231273,-3.96740600,0.00000000
-493.71135273,-7.93481200,0.00000000
-493.67039273,-8.72829300,0.00000000
-493.62943273,-7.14133100,0.00793481
-493.58847273,1.58696200,0.00000000
-493.54751273,7.14133100,0.00000000
-493.50655274,8.72829300,0.00000000
-493.46559274,6.34785000,0.00000000
