Time,Channel A,Channel B
(ms),(V),(V)

-499.98483062,5.07919500,-0.43641470
-499.97459062,5.07919500,-0.43641470
-499.96435062,5.15854400,0.75395980
-499.95411062,5.07919500,0.71428570
-499.94387062,5.07919500,0.63478500
-499.93363062,5.07919500,0.59511100
-499.92339062,5.07919500,0.59511100
-499.91315062,4.99984700,0.55543680
-499.90291062,4.99984700,0.51576280
-499.89267062,4.92049900,0.47608880
-499.88243062,4.84115100,0.43641470
-499.87219062,4.84115100,0.51576280
-499.86195062,4.84115100,0.47608880
-499.85171062,4.99984700,0.47608880
-499.84147062,5.15854400,0.47608880
-499.83123062,5.31724000,0.47608880
-499.82099062,5.31724000,0.51576280
-499.81075062,5.23789200,0.43641470
-499.80051062,5.15854400,0.47608880
-499.79027062,5.23789200,0.43641470
-499.78003062,5.31724000,0.43641470
-499.76979062,5.31724000,0.47608880
-499.75955062,5.23789200,0.43641470
-499.74931062,5.31724000,0.43641470
-499.73907062,5.39658800,0.51576280
-499.72883062,5.31724000,0.47608880
-499.71859062,5.31724000,0.47608880
-499.70835062,5.31724000,0.47608880
-499.69811062,5.47593600,0.47608880
-499.68787062,5.39658800,0.51576280
-499.67763062,5.31724000,0.51576280
-499.66739062,5.47593600,0.47608880
-499.65715062,5.39658800,0.47608880
-499.64691062,5.31724000,0.47608880
-499.63667062,5.47593600,0.51576280
-499.62643062,5.39658800,0.51576280
-499.61619062,5.39658800,0.51576280
-499.60595062,5.47593600,0.51576280
-499.59571062,5.31724000,0.51576280
-499.58547062,5.47593600,0.47608880
-499.57523062,5.39658800,0.51576280
-499.56499062,5.39658800,0.51576280
-499.55475062,5.39658800,0.51576280
-499.54451062,5.39658800,0.47608880
-499.53427062,5.39658800,0.47608880
-499.52403062,5.47593600,0.51576280
-499.51379062,5.39658800,0.51576280
-499.50355062,5.39658800,0.51576280
-499.49331062,5.47593600,0.51576280
-499.48307062,5.47593600,0.51576280
-499.47283062,5.39658800,0.55543680
-499.46259062,5.47593600,0.55543680
-499.45235062,5.39658800,0.55543680
-499.44211062,5.47593600,0.59511100
-499.43187062,5.47593600,0.55543680
-499.42163062,5.47593600,0.55543680
-499.41139062,5.47593600,0.55543680
-499.40115062,5.39658800,0.55543680
-499.39091062,5.47593600,0.55543680
-499.38067062,5.39658800,0.55543680
-499.37043062,5.39658800,0.55543680
-499.36019062,5.47593600,0.59511100
-499.34995062,5.39658800,0.59511100
-499.33971062,5.47593600,0.59511100
-499.32947062,5.47593600,0.55543680
-499.31923062,5.39658800,0.59511100
-499.30899062,5.39658800,0.55543680
-499.29875062,5.47593600,0.59511100
-499.28851062,5.47593600,0.59511100
-499.27827062,5.39658800,0.59511100
-499.26803062,5.39658800,0.59511100
-499.25779062,5.47593600,0.59511100
-499.24755062,5.47593600,0.59511100
-499.23731062,5.47593600,0.59511100
-499.22707062,5.39658800,0.63478500
-499.21683062,5.47593600,0.59511100
-499.20659062,5.47593600,0.63478500
-499.19635062,5.47593600,0.63478500
-499.18611062,5.39658800,0.63478500
-499.17587062,5.39658800,0.63478500
-499.16563062,5.39658800,0.63478500
-499.15539062,5.47593600,0.63478500
-499.14515062,5.47593600,0.63478500
-499.13491062,5.47593600,0.63478500
-499.12467062,5.47593600,0.63478500
-499.11443062,5.47593600,0.63478500
-499.10419062,5.47593600,0.63478500
-499.09395062,5.39658800,0.67445900
-499.08371062,5.47593600,0.63478500
-499.07347062,5.39658800,0.63478500
-499.06323062,5.39658800,0.63478500
-499.05299062,5.39658800,0.67445900
-499.04275062,5.39658800,0.63478500
-499.03251062,5.39658800,0.67445900
-499.02227062,5.39658800,0.67445900
-499.01203062,5.39658800,0.63478500
-499.00179062,5.39658800,0.67445900
-498.99155062,5.39658800,0.67445900
-498.98131062,5.39658800,0.67445900
-498.97107062,5.39658800,0.67445900
-498.96083062,5.39658800,0.71428570
-498.95059062,5.39658800,0.71428570
-498.94035062,5.39658800,0.71428570
-498.93011062,5.47593600,0.71428570
-498.91987062,5.47593600,0.71428570
-498.90963062,5.47593600,0.71428570
-498.89939062,5.47593600,0.67445900
-498.88915062,5.47593600,0.71428570
-498.87891062,5.39658800,0.71428570
-498.86867062,5.39658800,0.71428570
-498.85843062,5.39658800,0.71428570
-498.84819062,5.39658800,0.71428570
-498.83795062,5.47593600,0.71428570
-498.82771062,5.47593600,0.71428570
-498.81747062,5.47593600,0.75395980
-498.80723063,5.47593600,0.75395980
-498.79699063,5.39658800,0.71428570
-498.78675063,5.39658800,0.71428570
-498.77651063,5.47593600,0.71428570
-498.76627063,5.39658800,0.75395980
