Time,Channel A,Channel B
(s),(mV),(V)

-1.00001788,7.14133100,-0.00793481
-0.99997692,4.76088700,0.00000000
-0.99993596,2.38044400,-0.01586962
-0.99989500,-0.79348120,-0.01586962
-0.99985404,-4.76088700,0.00000000
-0.99981308,-6.34785000,-0.00793481
-0.99977212,-10.31526000,-0.02380444
-0.99973116,-10.31526000,0.00000000
-0.99969020,-10.31526000,0.00000000
-0.99964924,-7.14133100,0.00000000
-0.99960828,-4.76088700,-0.00793481
-0.99956732,-0.79348120,-0.01586962
-0.99952636,2.38044400,0.00793481
-0.99948540,3.96740600,0.00000000
-0.99944444,5.55436900,0.00000000
-0.99940348,7.93481200,-0.00793481
-0.99936252,8.72829300,-0.00793481
-0.99932156,8.72829300,0.00000000
-0.99928060,7.14133100,-0.00793481
-0.99923964,3.17392500,-0.01586962
-0.99919868,2.38044400,-0.00793481
-0.99915772,-0.79348120,-0.01586962
-0.99911676,-2.38044400,0.00000000
-0.99907580,-7.14133100,-0.00793481
-0.99903484,-10.31526000,0.00000000
-0.99899388,-9.52177400,0.00000000
-0.99895292,-10.31526000,-0.00793481
-0.99891196,-8.72829300,-0.00793481
-0.99887100,-7.14133100,0.00000000
-0.99883004,-3.17392500,0.00000000
-0.99878908,2.38044400,-0.00793481
-0.99874812,4.76088700,0.00000000
-0.99870716,6.34785000,0.00000000
-0.99866620,8.72829300,-0.00793481
-0.99862524,8.72829300,-0.01586962
-0.99858428,8.72829300,-0.00793481
-0.99854332,6.34785000,0.00000000
-0.99850236,5.55436900,0.00000000
-0.99846140,2.38044400,0.00000000
-0.99842044,-3.17392500,-0.00793481
-0.99837948,-5.55436900,-0.00793481
-0.99833852,-8.72829300,0.00000000
-0.99829756,-10.31526000,-0.00793481
-0.99825660,-10.31526000,0.00000000
-0.99821564,-10.31526000,0.00000000
-0.99817468,-7.93481200,-0.00793481
-0.99813372,-3.96740600,-0.01586962
-0.99809276,-0.79348120,0.00000000
-0.99805180,2.38044400,0.00793481
-0.99801084,6.34785000,-0.00793481
-0.99796988,6.34785000,0.00000000
-0.99792892,11.10874000,0.00000000
-0.99788796,8.72829300,-0.00793481
-0.99784700,7.93481200,-0.00793481
-0.99780604,6.34785000,0.00000000
-0.99776508,2.38044400,-0.00793481
-0.99772412,-0.79348120,-0.00793481
-0.99768316,-3.17392500,0.00000000
-0.99764220,-10.31526000,0.00793481
-0.99760124,-9.52177400,0.00793481
-0.99756028,-10.31526000,-0.00793481
-0.99751932,-9.52177400,0.00000000
-0.99747836,-6.34785000,0.00000000
-0.99743740,-3.17392500,0.00000000
-0.99739644,1.58696200,0.00793481
-0.99735548,5.55436900,0.00000000
-0.99731452,5.55436900,0.00793481
-0.99727356,7.93481200,-0.00793481
