Time,Channel A,Channel B
(s),(V),(mV)

0.00000000,2.53944500,55.54368000
0.00016384,3.80932000,63.47850000
0.00032768,5.79363400,67.44590000
0.00049152,5.15854400,59.51109000
0.00065536,2.85714300,43.64147000
0.00081920,3.01583900,67.44590000
0.00098304,5.39658800,59.51109000
0.00114688,5.71428600,47.60887000
0.00131072,3.41258000,63.47850000
0.00147456,2.69814100,51.57627000
0.00163840,4.84115100,55.54368000
0.00180224,5.95233000,59.51109000
0.00196608,3.96801700,63.47850000
0.00212992,2.53944500,55.54368000
0.00229376,4.28571400,43.64147000
0.00245760,6.03167800,59.51109000
0.00262144,4.68245500,51.57627000
0.00278528,2.61879300,59.51109000
0.00294912,3.41258000,59.51109000
0.00311296,5.63463300,51.57627000
0.00327680,5.47593600,47.60887000
0.00344064,3.17453500,55.54368000
0.00360448,2.61879300,47.60887000
0.00376832,4.84115100,59.51109000
0.00393216,6.03167800,51.57627000
0.00409600,4.28571400,47.60887000
0.00425984,2.53944500,55.54368000
0.00442368,3.65062400,55.54368000
0.00458752,5.79363400,47.60887000
0.00475136,5.31724000,47.60887000
0.00491520,3.01583900,39.67406000
0.00507904,2.77749000,55.54368000
0.00524288,5.15854400,51.57627000
0.00540672,5.95233000,51.57627000
0.00557056,3.88866900,55.54368000
0.00573440,2.53944500,43.64147000
0.00589824,4.12671300,63.47850000
0.00606208,5.95233000,43.64147000
0.00622592,4.92049900,39.67406000
0.00638976,2.69814100,51.57627000
0.00655360,3.09518700,39.67406000
0.00671744,5.39658800,43.64147000
0.00688128,5.79363400,31.73925000
0.00704512,3.65062400,59.51109000
0.00720896,2.53944500,35.70665000
0.00737280,4.36506200,43.64147000
0.00753664,6.03167800,47.60887000
0.00770048,4.76180300,47.60887000
0.00786432,2.61879300,43.64147000
0.00802816,3.33323200,47.60887000
0.00819200,5.63463300,47.60887000
0.00835584,5.47593600,35.70665000
0.00851968,3.17453500,35.70665000
0.00868352,2.77749000,31.73925000
0.00884736,4.99984700,39.67406000
0.00901120,5.95233000,39.67406000
0.00917504,3.80932000,43.64147000
0.00933888,2.46009700,39.67406000
0.00950272,4.36506200,35.70665000
0.00966656,6.03167800,43.64147000
0.00983040,4.52375900,39.67406000
0.00999424,2.53944500,43.64147000
0.01015808,3.57127600,43.64147000
0.01032192,5.79363400,35.70665000
0.01048576,5.31724000,39.67406000
0.01064960,2.93649100,39.67406000
0.01081344,2.85714300,35.70665000
0.01097728,5.23789200,35.70665000
0.01114112,5.87298200,35.70665000
0.01130496,3.80932000,39.67406000
0.01146880,2.46009700,35.70665000
0.01163264,4.28571400,35.70665000
0.01179648,6.03167800,43.64147000
0.01196032,4.76180300,27.77184000
0.01212416,2.61879300,27.77184000
0.01228800,3.41258000,27.77184000
0.01245184,5.71428600,39.67406000
0.01261568,5.47593600,35.70665000
0.01277952,3.09518700,39.67406000
0.01294336,2.77749000,35.70665000
0.01310720,5.07919500,31.73925000
0.01327104,5.95233000,39.67406000
0.01343488,3.88866900,35.70665000
0.01359872,2.46009700,27.77184000
0.01376256,4.12671300,27.77184000
0.01392640,6.03167800,31.73925000
0.01409024,4.99984700,27.77184000
0.01425408,2.69814100,35.70665000
0.01441792,3.09518700,15.86962000
0.01458176,5.47593600,27.77184000
0.01474560,5.79363400,23.80444000
0.01490944,3.49192800,35.70665000
0.01507328,2.53944500,23.80444000
0.01523712,4.52375900,27.77184000
0.01540096,6.03167800,23.80444000
0.01556480,4.52375900,23.80444000
0.01572864,2.53944500,23.80444000
0.01589248,3.65062400,27.77184000
0.01605632,5.79363400,39.67406000
0.01622016,5.23789200,23.80444000
0.01638400,2.85714300,23.80444000
0.01654784,2.85714300,27.77184000
0.01671168,5.31724000,27.77184000
0.01687552,5.87298200,23.80444000
0.01703936,3.49192800,11.90222000
0.01720320,2.53944500,15.86962000
0.01736704,4.68245500,27.77184000
0.01753088,6.03167800,27.77184000
0.01769472,4.20606100,23.80444000
0.01785856,2.46009700,27.77184000
0.01802240,3.88866900,15.86962000
0.01818624,5.95233000,15.86962000
0.01835008,4.99984700,23.80444000
0.01851392,2.69814100,23.80444000
0.01867776,3.09518700,23.80444000
0.01884160,5.47593600,31.73925000
0.01900544,5.71428600,27.77184000
0.01916928,3.41258000,15.86962000
0.01933312,2.53944500,19.83703000
